,Quarter,Tm,Detail,STL,SFO
0,2,49ers,Paul Hofer 19 yard pass from Steve DeBerg (Ray Wersching kick),0,7
1,3,Cardinals,Theotis Brown 13 yard pass from Jim Hart (Steve Little kick),7,7
2,3,Cardinals,Doug Marsh 5 yard pass from Jim Hart (Steve Little kick),14,7
3,4,49ers,Earl Cooper 9 yard pass from Steve DeBerg (Ray Wersching kick),14,14
4,4,Cardinals,Willard Harrell 5 yard rush (Steve Little kick),21,14
5,4,49ers,Paul Hofer 26 yard rush (Ray Wersching kick),21,21
6,OT,49ers,Ray Wersching 33 yard field goal,21,24
