,Quarter,Tm,Detail,SFO,CLE
0,1.0,49ers,Frankie Albert 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Browns,Dub Jones 7 yard pass from Otto Graham (Lou Groza kick),7,7
2,2.0,Browns,Marion Motley 22 yard rush (Lou Groza kick),7,14
3,2.0,49ers,Alyn Beals 28 yard pass from Frankie Albert (Gordie Soltau kick),14,14
4,3.0,Browns,Lou Groza 22 yard field goal,14,17
5,4.0,Browns,Lou Groza 10 yard field goal,14,20
6,4.0,Browns,Dub Jones 3 yard rush (Lou Groza kick),14,27
7,4.0,Browns,Rex Bumgardner 12 yard rush (Lou Groza kick),14,34
