,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,,49ers,Greg Clark 1 yard pass from Steve Young (Wade Richey kick),7,0
1,2.0,,49ers,Wade Richey 42 yard field goal,10,0
2,2.0,1:55,49ers,Wade Richey 37 yard field goal,13,0
3,2.0,0:14,49ers,Terrell Owens 6 yard pass from Steve Young (Garrison Hearst pass from Steve Young),21,0
4,3.0,0:14,49ers,Garrison Hearst 33 yard pass from Steve Young (Wade Richey kick),28,0
5,3.0,0:14,49ers,Wade Richey 43 yard field goal,31,0
