,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,,Chiefs,Pete Stoyanovich 53 yard field goal,3,0
1,1.0,,Seahawks,Ricky Watters 1 yard rush (Todd Peterson kick),3,7
2,1.0,,Seahawks,Ricky Watters 1 yard rush (Todd Peterson kick),3,14
3,2.0,,Chiefs,Pete Stoyanovich 38 yard field goal,6,14
4,2.0,,Seahawks,Todd Peterson 38 yard field goal,6,17
5,2.0,1:55,Seahawks,Darrin Smith 26 yard interception return (Todd Peterson kick),6,24
6,4.0,0:11,Chiefs,Rich Gannon 1 yard rush (pass failed),12,24
