,Quarter,Time,Tm,Detail,PIT,SDG
0,1.0,13:02,Chargers,Jeff Graham 71 yard pass from Ryan Leaf (John Carney kick),0,7
1,1.0,12:41,Steelers,Will Blackwell 98 yard kickoff return (Kris Brown kick),7,7
2,1.0,10:20,Chargers,Rodney Harrison 63 yard interception return (John Carney kick),7,14
3,2.0,8:43,Steelers,Courtney Hawkins 5 yard pass from Kordell Stewart (Kris Brown kick),14,14
4,2.0,2:14,Steelers,Kris Brown 32 yard field goal,17,14
5,2.0,0:55,Steelers,Kordell Stewart 19 yard rush (Kris Brown kick),24,14
6,3.0,4:45,Chargers,Terrell Fletcher 1 yard rush (John Carney kick),24,21
7,4.0,12:51,Steelers,Kordell Stewart 1 yard rush (Kris Brown kick),31,21
8,4.0,4:07,Steelers,Kris Brown 28 yard field goal,34,21
