,Quarter,Tm,Detail,SEA,KAN
0,1.0,Seahawks,Efren Herrera 40 yard field goal,3,0
1,2.0,Seahawks,David Sims 10 yard rush (Efren Herrera kick),10,0
2,2.0,Chiefs,Jan Stenerud 20 yard field goal,10,3
3,3.0,Seahawks,Efren Herrera 18 yard field goal,13,3
4,4.0,Chiefs,Ted McKnight 1 yard pass from Mike Livingston (Jan Stenerud kick),13,10
