,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Red Hickey 37 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,2.0,Packers,Tony Canadeo 15 yard rush (Ted Fritsch kick),7,7
2,2.0,Packers,Ted Fritsch 31 yard field goal,10,7
3,2.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),10,14
4,3.0,Rams,Kenny Washington 7 yard rush (Bob Waterfield kick),10,21
5,4.0,Rams,Bob Waterfield 37 yard field goal,10,24
