,Quarter,Tm,Detail,CIN,KAN
0,1.0,Chiefs,Nick Lowery 23 yard field goal,0,3
1,2.0,Chiefs,Christian Okoye 11 yard rush (Nick Lowery kick),0,10
2,2.0,Bengals,Tim McGee 40 yard pass from Boomer Esiason (Jim Gallery kick),7,10
3,2.0,Chiefs,Robb Thomas 5 yard pass from Ron Jaworski (Nick Lowery kick),7,17
4,2.0,Bengals,Eric Ball 2 yard rush (Jim Gallery kick),14,17
5,4.0,Bengals,Leon White 22 yard defensive fumble return (Jim Gallery kick),21,17
