,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,J.D. Smith 2 yard pass from Don Meredith,6,0
1,2.0,Steelers,Dick Hoak 2 yard pass from Bill Nelsen,6,6
2,2.0,Steelers,Gary Ballman 20 yard pass from Bill Nelsen,6,12
3,2.0,Steelers,Gary Ballman 72 yard pass from Bill Nelsen (Mike Clark kick),6,19
4,3.0,Cowboys,Pete Gent 8 yard pass from Don Meredith (Danny Villanueva kick),13,19
5,4.0,Steelers,Mike Clark 18 yard field goal,13,22
