,Quarter,Tm,Detail,MIA,MIN
0,1.0,Vikings,Rick Danmeier 39 yard field goal,0,3
1,2.0,Vikings,Rick Danmeier 44 yard field goal,0,6
2,2.0,Vikings,Rick Danmeier 40 yard field goal,0,9
3,2.0,Dolphins,Delvin Williams 3 yard rush (Uwe von Schamann kick),7,9
4,3.0,Vikings,Rick Danmeier 24 yard field goal,7,12
5,4.0,Dolphins,Larry Csonka 6 yard pass from Don Strock,13,12
6,4.0,Dolphins,Jimmy Cefalo 6 yard pass from Don Strock (Uwe von Schamann kick),20,12
7,4.0,Dolphins,Norm Bulaich 5 yard rush (Uwe von Schamann kick),27,12
