,Quarter,Tm,Detail,CLE,DEN
0,1.0,Browns,Don Cockroft 27 yard field goal,3,0
1,1.0,Broncos,Bobby Anderson 28 yard pass from Charley Johnson (Jim Turner kick),3,7
2,1.0,Broncos,Jim Turner 32 yard field goal,3,10
3,2.0,Browns,Milt Morin 2 yard pass from Mike Phipps (Don Cockroft kick),10,10
4,3.0,Broncos,Floyd Little 19 yard pass from Charley Johnson (Jim Turner kick),10,17
5,3.0,Browns,Don Cockroft 57 yard field goal,13,17
6,4.0,Browns,Paul Staroba 19 yard pass from Mike Phipps (Don Cockroft kick),20,17
7,4.0,Broncos,Jim Turner 43 yard field goal,20,20
8,4.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),27,20
