,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Ray Evans 9 yard rush (Joe Glamp kick),0,7
1,1.0,Giants,Skippy Minisi 6 yard rush (Len Younce kick),7,7
2,2.0,Steelers,Joe Glamp 40 yard field goal,7,10
3,2.0,Steelers,Joe Glamp 3 yard pass from Ray Evans (Joe Glamp kick),7,17
4,3.0,Giants,Gene Roberts 18 yard pass from Charlie Conerly (Len Younce kick),14,17
5,4.0,Steelers,Jerry Shipkey 2 yard rush (Joe Glamp kick),14,24
6,4.0,Steelers,Bob Cifers 2 yard rush (Joe Glamp kick),14,31
7,4.0,Steelers,Gonzalo Morales 36 yard fumble return (Joe Glamp kick),14,38
8,4.0,Giants,Joe Johnson 11 yard pass from Charlie Conerly (Len Younce kick),21,38
9,4.0,Giants,Bill Swiacki 11 yard pass from Charlie Conerly (Len Younce kick),28,38
