,Quarter,Tm,Detail,OAK,SDG
0,1.0,Raiders,Raymond Chester 16 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,2.0,Chargers,Dennis Partee 15 yard field goal,7,3
2,2.0,Chargers,Cid Edwards 1 yard rush (Dennis Partee kick),7,10
3,2.0,Raiders,Fred Biletnikoff 36 yard pass from Daryle Lamonica (George Blanda kick),14,10
4,3.0,Chargers,Gary Garrison 52 yard pass from John Hadl,14,16
5,4.0,Chargers,Dennis Partee 18 yard field goal,14,19
6,4.0,Raiders,Charlie Smith 9 yard rush (George Blanda kick),21,19
