,Quarter,Tm,Detail,KAN,SEA
0,1,Chiefs,Henry Marshall 11 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,1,Seahawks,Curt Warner 28 yard rush (Norm Johnson kick),7,7
2,2,Chiefs,Stephone Paige 17 yard pass from Bill Kenney (Nick Lowery kick),14,7
3,2,Chiefs,Bill Kenney 1 yard rush (Nick Lowery kick),21,7
4,2,Seahawks,Byron Walker 18 yard pass from Dave Krieg (Norm Johnson kick),21,14
5,2,Chiefs,Theotis Brown 13 yard rush (Nick Lowery kick),28,14
6,3,Seahawks,Dan Doornink 27 yard pass from Dave Krieg (Norm Johnson kick),28,21
7,3,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),28,28
8,3,Seahawks,Norm Johnson 42 yard field goal,28,31
9,3,Chiefs,Bill Kenney 1 yard rush (Nick Lowery kick),35,31
10,4,Chiefs,Carlos Carson 18 yard pass from Bill Kenney (Nick Lowery kick),42,31
11,4,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),42,38
12,4,Seahawks,Paul Johns 14 yard pass from Dave Krieg (Norm Johnson kick),42,45
13,4,Chiefs,Theotis Brown 21 yard pass from Bill Kenney,48,45
14,4,Seahawks,Norm Johnson 42 yard field goal,48,48
15,OT,Seahawks,Norm Johnson 42 yard field goal,48,51
