,Quarter,Tm,Detail,WAS,NYY
0,1,Bulldogs,Joe Golding 6 yard pass from Bobby Layne (Nick Scollard kick),0,7
1,2,Redskins,Hugh Taylor 44 yard pass from Sammy Baugh (Dick Poillon kick),7,7
2,3,Redskins,Leon Cochran 1 yard rush (Dick Poillon kick),14,7
3,4,Bulldogs,Nick Scollard 40 yard pass from Bobby Layne (Nick Scollard kick),14,14
