,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Arthur Cox 3 yard pass from Jim McMahon (Chris Bahr kick),0,7
1,1.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,7
2,1.0,Seahawks,Norm Johnson 50 yard field goal,10,7
3,2.0,Chargers,Chris Bahr 29 yard field goal,10,10
4,3.0,Seahawks,John Williams 6 yard pass from Dave Krieg (Norm Johnson kick),17,10
5,4.0,Chargers,Marion Butts 2 yard rush,17,16
