,Quarter,Tm,Detail,RAM,DEN
0,2.0,Rams,David Ray 19 yard field goal,3,0
1,2.0,Rams,Bob Klein 19 yard pass from John Hadl (David Ray kick),10,0
2,3.0,Broncos,Jim Turner 39 yard field goal,10,3
3,3.0,Rams,Cullen Bryant 84 yard kickoff return (David Ray kick),17,3
4,4.0,Broncos,Billy Van Heusen 30 yard pass from Charley Johnson (Jim Turner kick),17,10
