,Quarter,Time,Tm,Detail,STL,SEA
0,1.0,11:33,Rams,Torry Holt 15 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
1,1.0,2:05,Seahawks,Josh Brown 47 yard field goal,7,3
2,2.0,13:32,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,3
3,2.0,8:18,Seahawks,Bobby Engram 19 yard pass from Matt Hasselbeck (Josh Brown kick),14,10
4,3.0,8:52,Seahawks,Josh Brown 30 yard field goal,14,13
5,3.0,2:35,Rams,Jeff Wilkins 38 yard field goal,17,13
6,4.0,13:43,Seahawks,Darrell Jackson 23 yard pass from Matt Hasselbeck (Josh Brown kick),17,20
7,4.0,8:07,Rams,Jeff Wilkins 27 yard field goal,20,20
8,4.0,2:11,Rams,Cam Cleeland 17 yard pass from Marc Bulger (Jeff Wilkins kick),27,20
