,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Dalton Hilliard 21 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Saints,Morten Andersen 32 yard field goal,0,10
2,3.0,Falcons,Shawn Collins 18 yard pass from Chris Miller (Paul McFadden kick),7,10
3,3.0,Saints,Morten Andersen 44 yard field goal,7,13
4,3.0,Falcons,Paul McFadden 41 yard field goal,10,13
5,4.0,Falcons,Paul McFadden 48 yard field goal,13,13
6,4.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),13,20
