,Quarter,Time,Tm,Detail,DEN,MIA
0,2.0,7:01,Broncos,Jason Elam 45 yard field goal,3,0
1,3.0,6:41,Broncos,Desmond Clark 4 yard pass from Brian Griese (Jason Elam kick),10,0
2,4.0,13:45,Dolphins,Chris Chambers 11 yard pass from Jay Fiedler (Olindo Mare kick),10,7
3,4.0,9:51,Dolphins,Kenny Mixon 56 yard interception return (Olindo Mare kick),10,14
4,4.0,8:59,Dolphins,Lamar Smith 1 yard rush (Olindo Mare kick),10,21
