,Quarter,Tm,Detail,DEN,SEA
0,2.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),0,7
1,2.0,Seahawks,Ray Butler 3 yard pass from Dave Krieg (Norm Johnson kick),0,14
2,3.0,Broncos,Sammy Winder 11 yard rush (Rich Karlis kick),7,14
3,3.0,Broncos,Rick Massie 39 yard pass from John Elway (Rich Karlis kick),14,14
4,3.0,Seahawks,Ray Butler 40 yard pass from Dave Krieg (Norm Johnson kick),14,21
5,4.0,Seahawks,John Williams 7 yard pass from Dave Krieg (Norm Johnson kick),14,28
6,4.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),21,28
