,Quarter,Time,Tm,Detail,STL,MIA
0,2,0:11,Dolphins,Oronde Gadsden 1 yard pass from Dan Marino (Olindo Mare kick),0,7
1,4,0:11,Dolphins,John Avery 19 yard pass from Dan Marino (Olindo Mare kick),0,14
