,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,,Patriots,Adam Vinatieri 26 yard field goal,0,3
1,1.0,,Patriots,Shawn Jefferson 13 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,10
2,2.0,,Patriots,Terry Glenn 5 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,17
3,2.0,,Colts,Cary Blanchard 42 yard field goal,3,17
4,3.0,,Colts,Cary Blanchard 50 yard field goal,6,17
5,3.0,,Patriots,Adam Vinatieri 22 yard field goal,6,20
6,4.0,,Patriots,Curtis Martin 12 yard rush (Adam Vinatieri kick),6,27
7,4.0,,Colts,Marvin Harrison 5 yard pass from Paul Justin (Cary Blanchard kick),13,27
