,Quarter,Tm,Detail,SEA,PIT
0,1.0,Steelers,Gary Anderson 37 yard field goal,0,3
1,1.0,Seahawks,Norm Johnson 33 yard field goal,3,3
2,2.0,Seahawks,Steve Largent 12 yard pass from Dave Krieg (pass failed),9,3
3,2.0,Steelers,Gary Anderson 24 yard field goal,9,6
4,4.0,Steelers,Frank Pollard 11 yard rush (Gary Anderson kick),9,13
