,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,James Lofton 27 yard pass from Lynn Dickey (Al Del Greco kick),7,0
1,2.0,Bears,Walter Payton 2 yard rush (Kevin Butler kick),7,7
2,2.0,Bears,William Perry 1 yard rush (Kevin Butler kick),7,14
3,2.0,Bears,Walter Payton 1 yard rush (Kevin Butler kick),7,21
4,4.0,Bears,"Safety, Wilson sacked Zorn in end zone",7,23
