,Quarter,Time,Tm,Detail,CAR,NYJ
0,1.0,,Jets,John Hall 30 yard field goal,0,3
1,1.0,,Panthers,Fred Lane 1 yard rush (John Kasay kick),7,3
2,1.0,,Jets,Curtis Martin 60 yard rush (John Hall kick),7,10
3,2.0,,Jets,John Hall 37 yard field goal,7,13
4,2.0,,Jets,Keyshawn Johnson 35 yard rush (pass failed),7,19
5,2.0,0:21,Jets,John Hall 26 yard field goal,7,22
6,3.0,0:21,Jets,Curtis Martin 1 yard rush (John Hall kick),7,29
7,3.0,0:21,Jets,"Safety, Cox sacked Beuerlein in end zone",7,31
8,3.0,0:21,Jets,Wayne Chrebet 36 yard pass from Vinny Testaverde (John Hall kick),7,38
9,3.0,0:21,Panthers,Wesley Walls 2 yard pass from Steve Beuerlein (John Kasay kick),14,38
10,3.0,0:21,Jets,John Hall 38 yard field goal,14,41
11,4.0,0:21,Panthers,Fred Lane 2 yard rush (John Kasay kick),21,41
12,4.0,0:21,Jets,Wayne Chrebet 21 yard pass from Vinny Testaverde (John Hall kick),21,48
