,Quarter,Tm,Detail,NOR,WAS
0,1.0,Redskins,Mark Moseley 31 yard field goal,0,3
1,1.0,Saints,Bill McClard 42 yard field goal,3,3
2,1.0,Redskins,Charley Taylor 11 yard pass from Billy Kilmer (Mark Moseley kick),3,10
3,2.0,Redskins,Charley Taylor 5 yard pass from Billy Kilmer (Mark Moseley kick),3,17
4,2.0,Redskins,Mark Moseley 35 yard field goal,3,20
5,4.0,Redskins,Ralph Nelson 27 yard pass from Billy Kilmer (Mark Moseley kick),3,27
6,4.0,Redskins,Jerry Smith 14 yard pass from Billy Kilmer (Mark Moseley kick),3,34
7,4.0,Redskins,Brad Dusek 16 yard defensive fumble return (Mark Moseley kick),3,41
