,Quarter,Tm,Detail,MIN,ATL
0,1.0,Vikings,Ahmad Rashad 6 yard pass from Tommy Kramer (Rick Danmeier kick),7,0
1,1.0,Falcons,Alfred Jackson 8 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,7
2,2.0,Vikings,Ahmad Rashad 42 yard pass from Tommy Kramer (Rick Danmeier kick),14,7
3,2.0,Vikings,Bob Bruer 3 yard pass from Tommy Kramer (Rick Danmeier kick),21,7
4,3.0,Falcons,Junior Miller 3 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,14
5,3.0,Falcons,Wallace Francis 29 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,21
6,4.0,Falcons,Mick Luckhurst 32 yard field goal,21,24
7,4.0,Falcons,Buddy Curry 35 yard interception return (Mick Luckhurst kick),21,31
8,4.0,Vikings,"Safety, James ran out of end zone",23,31
9,4.0,Vikings,Joe Senser 16 yard pass from Tommy Kramer (Rick Danmeier kick),30,31
