,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Mel Triplett 17 yard rush (Ben Agajanian kick),0,7
1,1.0,Giants,Ben Agajanian 17 yard field goal,0,10
2,1.0,Giants,Ben Agajanian 43 yard field goal,0,13
3,2.0,Giants,Alex Webster 3 yard rush (Ben Agajanian kick),0,20
4,2.0,Bears,Rick Casares 9 yard rush (George Blanda kick),7,20
5,2.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),7,27
6,2.0,Giants,Henry Moore blocked punt recovery in end zone (Ben Agajanian kick),7,34
7,3.0,Giants,Kyle Rote 9 yard pass from Charlie Conerly,7,40
8,4.0,Giants,Frank Gifford 14 yard pass from Charlie Conerly (Ben Agajanian kick),7,47
