,Quarter,Time,Tm,Detail,NOR,NYG
0,2.0,2:30,Giants,Janoris Jenkins 65 yard blocked field goal return (Josh Brown kick),0,7
1,2.0,0:07,Saints,Wil Lutz 39 yard field goal,3,7
2,3.0,2:46,Giants,Josh Brown 48 yard field goal,3,10
3,4.0,13:45,Saints,Willie Snead 17 yard pass from Drew Brees (Wil Lutz kick),10,10
4,4.0,8:46,Giants,Josh Brown 19 yard field goal,10,13
5,4.0,2:54,Saints,Wil Lutz 45 yard field goal,13,13
6,4.0,0:00,Giants,Josh Brown 23 yard field goal,13,16
