,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Rodney Carter 22 yard pass from Bubby Brister (Gary Anderson kick),0,7
1,2.0,Bengals,Jim Breech 24 yard field goal,3,7
2,2.0,Bengals,Jim Breech 27 yard field goal,6,7
3,2.0,Steelers,Gary Anderson 24 yard field goal,6,10
4,2.0,Bengals,Mike Martin 7 yard pass from Boomer Esiason (Jim Breech kick),13,10
5,3.0,Steelers,Gary Anderson 40 yard field goal,13,13
6,4.0,Bengals,James Brooks 13 yard rush,19,13
7,4.0,Steelers,Gary Anderson 34 yard field goal,19,16
8,4.0,Bengals,James Brooks 65 yard rush (Jim Breech kick),26,16
