,Quarter,Time,Tm,Detail,NYJ,GNB
0,1.0,9:33,Packers,Tyrone Davis 4 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,1:49,Jets,Curtis Martin 2 yard rush (John Hall kick),7,7
2,2.0,6:00,Packers,Ryan Longwell 45 yard field goal,7,10
3,2.0,0:22,Jets,John Hall 23 yard field goal,10,10
4,3.0,2:43,Packers,Ryan Longwell 42 yard field goal,10,13
5,4.0,8:52,Jets,John Hall 39 yard field goal,13,13
6,4.0,6:38,Packers,Ryan Longwell 42 yard field goal,13,16
7,4.0,3:28,Jets,Curtis Martin 3 yard pass from Vinny Testaverde (John Hall kick),20,16
