,Quarter,Tm,Detail,NYG,NOR
0,1.0,Giants,Ron Johnson 22 yard pass from Fran Tarkenton (Pete Gogolak kick),7,0
1,2.0,Giants,Pete Gogolak 8 yard field goal,10,0
2,2.0,Saints,Ken Burrough 15 yard pass from Edd Hargett (Tom Dempsey kick),10,7
3,4.0,Saints,Al Dodd special teams fumble recovery in end zone (Tom Dempsey kick),10,14
