,Quarter,Time,Tm,Detail,BUF,KAN
0,1.0,10:39,Bills,"Safety,",2,0
1,1.0,5:12,Chiefs,Dante Hall 67 yard pass from Trent Green (Morten Andersen kick),2,7
2,2.0,14:16,Chiefs,Priest Holmes 4 yard rush (Morten Andersen kick),2,14
3,2.0,7:35,Chiefs,Priest Holmes 13 yard rush (Morten Andersen kick),2,21
4,2.0,2:56,Bills,Rian Lindell 20 yard field goal,5,21
5,2.0,0:10,Chiefs,Tony Gonzalez 1 yard pass from Trent Green (Morten Andersen kick),5,28
6,4.0,7:16,Chiefs,Priest Holmes 15 yard rush (Morten Andersen kick),5,35
7,4.0,4:02,Chiefs,Morten Andersen 49 yard field goal,5,38
