,Quarter,Time,Tm,Detail,CIN,HOU
0,2.0,0:00,Bengals,Randy Bullock 43 yard field goal,3,0
1,3.0,9:05,Texans,Nick Novak 25 yard field goal,3,3
2,4.0,13:31,Texans,Nick Novak 22 yard field goal,3,6
3,4.0,10:45,Bengals,Brandon LaFell 86 yard pass from Andy Dalton (Randy Bullock kick),10,6
4,4.0,8:41,Texans,Alfred Blue 24 yard rush (Nick Novak kick failed),10,12
