,Quarter,Tm,Detail,CHI,BOS
0,1.0,Bears,Bill Hewitt 45 yard pass from Bernie Masterson (Jack Manders kick),7,0
1,2.0,Bears,Jack Manders 20 yard field goal,10,0
2,3.0,Bears,Bronko Nagurski 3 yard rush (Jack Manders kick),17,0
3,4.0,Bears,Jack Manders 36 yard rush,23,0
4,4.0,Bears,Jack Manders 30 yard field goal,26,0
