,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Eric Martin 7 yard pass from Dave Wilson (Morten Andersen kick),7,0
1,3.0,Falcons,Ken Whisenhunt 3 yard pass from Turk Schonert,7,6
2,4.0,Falcons,Ali Haji-Sheikh 43 yard field goal,7,9
3,4.0,Saints,Dave Wilson 6 yard rush (Morten Andersen kick),14,9
