,Quarter,Tm,Detail,KAN,DET
0,1.0,Chiefs,Jonathan Hayes 7 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,2.0,Chiefs,Paul Coffman 13 yard pass from Bill Kenney (Nick Lowery kick),14,0
2,2.0,Lions,Karl Bernard 11 yard rush (Eddie Murray kick),14,7
3,2.0,Chiefs,Nick Lowery 52 yard field goal,17,7
4,2.0,Chiefs,Herman Heard 2 yard rush (Nick Lowery kick),24,7
5,2.0,Lions,Eddie Murray 48 yard field goal,24,10
6,3.0,Lions,Eddie Murray 37 yard field goal,24,13
7,3.0,Chiefs,Nick Lowery 54 yard field goal,27,13
8,4.0,Lions,Gary Ellerson 10 yard pass from Chuck Long (Eddie Murray kick),27,20
