,Quarter,Tm,Detail,ATL,STL
0,1.0,Cardinals,Terry Metcalf 39 yard rush (Jim Bakken kick),0,7
1,1.0,Falcons,Steve Bartkowski 1 yard rush (Nick Mike-Mayer kick),7,7
2,2.0,Cardinals,Jim Bakken 22 yard field goal,7,10
3,2.0,Falcons,Dave Hampton 6 yard rush,13,10
4,2.0,Cardinals,Jim Bakken 39 yard field goal,13,13
5,3.0,Falcons,Dave Hampton 1 yard rush (Nick Mike-Mayer kick),20,13
6,4.0,Cardinals,Earl Thomas 8 yard pass from Jim Hart (Jim Bakken kick),20,20
7,4.0,Cardinals,Jim Bakken 25 yard field goal,20,23
