,Quarter,Tm,Detail,PHI,TAM
0,3.0,Eagles,Roger Ruzek 18 yard field goal,3,0
1,3.0,Eagles,Roger Ruzek 45 yard field goal,6,0
2,3.0,Eagles,Seth Joyner defensive fumble recovery in end zone (Roger Ruzek kick),13,0
3,4.0,Buccaneers,Robert Wilson 8 yard pass from Chris Chandler (Steve Christie kick),13,7
4,4.0,Buccaneers,Bruce Hill 5 yard pass from Chris Chandler (Steve Christie kick),13,14
