,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Don Hutson 92 yard pass from Arnie Herber (Tiny Engebretsen kick),0,7
1,2.0,Packers,Clarke Hinkle 1 yard rush (Clarke Hinkle kick),0,14
2,3.0,Packers,Andy Uram 97 yard rush (Clarke Hinkle kick),0,21
3,4.0,Cardinals,Bill Smith 60 yard pass from Frank Patrick (Bill Smith kick),7,21
4,4.0,Cardinals,Bill Smith 25 yard pass from Jack Robbins (Bill Smith kick),14,21
5,4.0,Packers,Don Hutson unknown yard pass from Arnie Herber,14,27
6,4.0,Cardinals,Marshall Goldberg 6 yard pass from Jack Robbins,20,27
