,Quarter,Tm,Detail,BUF,SDG
0,1.0,Bills,Frank Lewis 21 yard pass from Joe Ferguson,6,0
1,1.0,Chargers,Clarence Williams 5 yard rush (Rolf Benirschke kick),6,7
2,2.0,Chargers,Clarence Williams 1 yard rush,6,13
3,2.0,Bills,Joe Ferguson 10 yard rush,12,13
4,3.0,Bills,Curtis Brown 84 yard pass from Joe Ferguson (Tom Dempsey kick),19,13
5,3.0,Chargers,Clarence Williams 55 yard rush (Rolf Benirschke kick),19,20
6,4.0,Chargers,Clarence Williams 2 yard rush (Rolf Benirschke kick),19,27
