,Quarter,Tm,Detail,TAM,KAN
0,2.0,Chiefs,Ken Lacy 2 yard rush (Nick Lowery kick),0,7
1,2.0,Buccaneers,Kevin House 7 yard pass from Steve DeBerg (Obed Ariri kick),7,7
2,3.0,Chiefs,Ken Lacy 5 yard pass from Bill Kenney (Nick Lowery kick),7,14
3,3.0,Buccaneers,Obed Ariri 34 yard field goal,10,14
4,3.0,Buccaneers,Obed Ariri 25 yard field goal,13,14
5,4.0,Chiefs,Henry Marshall 27 yard pass from Bill Kenney (Nick Lowery kick),13,21
6,4.0,Chiefs,Nick Lowery 47 yard field goal,13,24
7,4.0,Buccaneers,Scott Dierking 5 yard pass from Steve DeBerg (Obed Ariri kick),20,24
