,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Danny Villanueva 41 yard field goal,0,3
1,1.0,Cowboys,Perry Lee Dunn 1 yard rush (Danny Villanueva kick),0,10
2,2.0,Cowboys,Dan Reeves 2 yard rush (Danny Villanueva kick),0,17
3,3.0,Giants,"Safety, Katcavage tackled Meredith in end zone",2,17
4,3.0,Cowboys,Perry Lee Dunn 1 yard rush (Danny Villanueva kick),2,24
5,4.0,Cowboys,Bob Hayes 45 yard pass from Don Meredith (Danny Villanueva kick),2,31
