,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Joe Morris 3 yard rush (Joe Danelo kick),0,7
1,1.0,Giants,"Safety, ball snapped out of end zone",0,9
2,2.0,Giants,Joe Danelo 37 yard field goal,0,12
3,2.0,Packers,Jim Jensen 7 yard pass from Lynn Dickey (Jan Stenerud kick),7,12
4,3.0,Giants,Cliff Chatman 2 yard rush (Joe Danelo kick),7,19
5,3.0,Packers,James Lofton 83 yard rush (Jan Stenerud kick),14,19
6,4.0,Packers,Eddie Lee Ivery 11 yard rush (Jan Stenerud kick),21,19
7,4.0,Packers,Jan Stenerud 37 yard field goal,24,19
8,4.0,Packers,Jan Stenerud 22 yard field goal,27,19
