,Quarter,Tm,Detail,DAL,BAL
0,1.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),7,0
1,1.0,Cowboys,Rafael Septien 42 yard field goal,10,0
2,1.0,Cowboys,Ron Springs 2 yard rush (Rafael Septien kick),17,0
3,1.0,Colts,Curtis Dickey 67 yard rush,17,6
4,2.0,Cowboys,Ron Springs 2 yard pass from Glenn Carano (Rafael Septien kick),24,6
5,2.0,Cowboys,Rafael Septien 35 yard field goal,27,6
6,3.0,Colts,Curtis Dickey 20 yard rush (Mike Wood kick),27,13
7,4.0,Cowboys,Rafael Septien 31 yard field goal,30,13
8,4.0,Cowboys,James Jones 59 yard rush (Rafael Septien kick),37,13
