,Quarter,Tm,Detail,NYY,DET
0,1.0,Lions,Wally Triplett 62 yard punt return (Bill Dudley kick),0,7
1,2.0,Bulldogs,Bill Chipley 9 yard pass from Bobby Layne (Nick Scollard kick),7,7
2,2.0,Lions,Frank Tripucka 1 yard rush (Bill Dudley kick),7,14
3,2.0,Lions,John Greene 58 yard pass from Fred Enke (Bill Dudley kick),7,21
4,3.0,Bulldogs,Joe Golding 65 yard interception return (Nick Scollard kick),14,21
5,4.0,Bulldogs,Ralph Heywood 3 yard pass from Bobby Layne (Nick Scollard kick),21,21
6,4.0,Bulldogs,Ralph Heywood 16 yard pass from Bobby Layne,27,21
7,4.0,Lions,John Greene 8 yard pass from Frank Tripucka (Bill Dudley kick),27,28
