,Quarter,Tm,Detail,PHI,CHI
0,1.0,Eagles/Steelers,Ernie Steele 60 yard pass from Roy Zimmerman (Roy Zimmerman kick),7,0
1,1.0,Bears,Dante Magnani 96 yard kickoff return (Bob Snyder kick),7,7
2,2.0,Bears,George Wilson 16 yard pass from Sid Luckman (Bob Snyder kick),7,14
3,2.0,Bears,Dante Magnani 13 yard rush (Bob Snyder kick),7,21
4,2.0,Bears,Ray Nolting 3 yard rush (Bob Snyder kick),7,28
5,2.0,Bears,Doug McEnulty 10 yard pass from Sid Luckman (Bob Snyder kick),7,35
6,3.0,Bears,Harry Clarke 81 yard fumble return (Bob Snyder kick),7,42
7,4.0,Bears,Hampton Pool 17 yard pass from Sid Luckman,7,48
8,4.0,Eagles/Steelers,Tony Bova 51 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,48
9,4.0,Eagles/Steelers,Johnny Butler 1 yard rush (Roy Zimmerman kick),21,48
