,Quarter,Tm,Detail,MIA,BUF
0,2,Bills,Charles Romes 76 yard blocked field goal return (Tom Dempsey kick),0,7
1,3,Dolphins,Uwe von Schamann 34 yard field goal,3,7
2,4,Dolphins,Larry Csonka 1 yard rush,9,7
