,Quarter,Tm,Detail,PIT,BAL
0,1.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),0,7
1,2.0,Colts,Jim O'Brien 20 yard field goal,0,10
2,2.0,Colts,Jim O'Brien 9 yard field goal,0,13
3,2.0,Steelers,Terry Bradshaw 3 yard rush (Roy Gerela kick),7,13
4,2.0,Colts,Willie Richardson 19 yard pass from Earl Morrall (Jim O'Brien kick),7,20
5,2.0,Colts,Willie Richardson 49 yard pass from Earl Morrall (Jim O'Brien kick),7,27
6,3.0,Colts,Ray Perkins 60 yard pass from Earl Morrall (Jim O'Brien kick),7,34
7,3.0,Steelers,Ron Shanklin 31 yard pass from Terry Bradshaw (Roy Gerela kick),14,34
8,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),21,34
