,Quarter,Tm,Detail,OAK,SEA
0,2.0,Seahawks,Wilson Alvarez 22 yard field goal,0,3
1,2.0,Raiders,Chris Bahr 20 yard field goal,3,3
2,2.0,Seahawks,Jim Zorn 3 yard rush (Wilson Alvarez kick),3,10
3,3.0,Seahawks,Sherman Smith 3 yard rush (Wilson Alvarez kick),3,17
4,3.0,Seahawks,Rodell Thomas 5 yard special teams fumble return (Wilson Alvarez kick),3,24
5,3.0,Raiders,"Safety, West stepped out of end zone",5,24
6,3.0,Raiders,Derrick Ramsey 5 yard pass from Marc Wilson,11,24
7,4.0,Raiders,Bob Chandler 8 yard pass from Marc Wilson (Chris Bahr kick),18,24
8,4.0,Raiders,Arthur Whittington 16 yard pass from Marc Wilson (Chris Bahr kick),25,24
9,4.0,Raiders,Derrick Jensen 3 yard rush (Chris Bahr kick),32,24
10,4.0,Seahawks,Steve Largent 11 yard pass from Dave Krieg (Wilson Alvarez kick),32,31
