,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Joe Maniaci 12 yard fumble return (Joe Maniaci kick),0,7
1,1.0,Bears,Les McDonald 10 yard pass from Bernie Masterson (Joe Maniaci kick),0,14
2,1.0,Bears,Joe Maniaci 21 yard field goal,0,17
3,2.0,Bears,Bill Osmanski 3 yard rush (Dick Plasman kick),0,24
4,2.0,Cardinals,Frank Patrick 12 yard rush (Frank Patrick kick),7,24
5,4.0,Bears,Ray Nolting 11 yard pass from Bernie Masterson (Joe Stydahar kick),7,31
6,4.0,Bears,Ray Nolting 35 yard interception return,7,37
7,4.0,Bears,Bill Osmanski 86 yard rush (Joe Stydahar kick),7,44
