,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Kelvin Edwards 62 yard rush (Luis Zendejas kick),0,7
1,1.0,Cowboys,Alvin Blount 8 yard rush (Luis Zendejas kick),0,14
2,1.0,Cowboys,Cornell Burbage 77 yard pass from Kevin Sweeney (Luis Zendejas kick),0,21
3,1.0,Eagles,Dave Jacobs 40 yard field goal,3,21
4,2.0,Eagles,Kevin Bowman 62 yard pass from Scott Tinsley (Dave Jacobs kick),10,21
5,2.0,Cowboys,Luis Zendejas 44 yard field goal,10,24
6,2.0,Cowboys,Luis Zendejas 50 yard field goal,10,27
7,3.0,Cowboys,Tony Dorsett 10 yard rush (Luis Zendejas kick),10,34
8,3.0,Cowboys,Alvin Blount 1 yard rush (Luis Zendejas kick),10,41
9,3.0,Eagles,Mike Siano 13 yard pass from Scott Tinsley,16,41
10,4.0,Eagles,Topper Clemons 13 yard pass from Scott Tinsley,22,41
