,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles,Bobby Walston 33 yard field goal,0,3
1,2.0,Eagles,Pete Pihos 38 yard pass from Adrian Burk (Bobby Walston kick),0,10
2,2.0,Lions,Bob Hoernschemeyer 18 yard pass from Bobby Layne (Doak Walker kick),7,10
3,3.0,Lions,Dorne Dibble 20 yard pass from Bobby Layne (Doak Walker kick),14,10
4,3.0,Lions,Dorne Dibble 30 yard pass from Bob Hoernschemeyer (Doak Walker kick),21,10
5,4.0,Lions,Leon Hart 7 yard pass from Bobby Layne (Doak Walker kick),28,10
