,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,8:23,Jaguars,Allen Robinson 3 yard pass from Blake Bortles (Jason Myers kick),0,7
1,1.0,1:50,Colts,Adam Vinatieri 53 yard field goal,3,7
2,2.0,8:53,Colts,Adam Vinatieri 49 yard field goal,6,7
3,2.0,4:09,Jaguars,Blake Bortles 1 yard rush (Jason Myers kick),6,14
4,2.0,0:00,Jaguars,Jason Myers 22 yard field goal,6,17
5,3.0,11:50,Jaguars,Jason Myers 46 yard field goal,6,20
6,3.0,2:51,Jaguars,Jason Myers 49 yard field goal,6,23
7,4.0,14:48,Colts,Frank Gore 1 yard rush (Adam Vinatieri kick),13,23
8,4.0,7:06,Colts,T.Y. Hilton 2 yard pass from Andrew Luck (Adam Vinatieri kick),20,23
9,4.0,5:03,Jaguars,Allen Hurns 42 yard pass from Blake Bortles (Jason Myers kick),20,30
10,4.0,3:03,Colts,Phillip Dorsett 64 yard pass from Andrew Luck (Adam Vinatieri kick),27,30
