,Quarter,Time,Tm,Detail,NYG,JAX
0,1.0,,Giants,Tiki Barber 4 yard rush (Brad Daluiso kick),7,0
1,2.0,,Jaguars,Mike Hollis 29 yard field goal,7,3
2,2.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),7,10
3,2.0,,Jaguars,Natrone Means 9 yard rush (Mike Hollis kick),7,17
4,2.0,,Jaguars,Mike Hollis 52 yard field goal,7,20
5,3.0,,Jaguars,Mike Hollis 36 yard field goal,7,23
6,3.0,,Giants,Chris Calloway 8 yard pass from Dave Brown (pass failed),13,23
7,4.0,,Jaguars,Mike Hollis 42 yard field goal,13,26
8,4.0,,Jaguars,Natrone Means 5 yard rush (Mike Hollis kick),13,33
9,4.0,,Jaguars,James Stewart 12 yard rush (Mike Hollis kick),13,40
