,Quarter,Tm,Detail,BUF,GNB
0,1.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),0,7
1,2.0,Bills,Andre Reed 6 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Packers,Chris Jacke 25 yard field goal,7,10
3,2.0,Bills,Don Beebe 12 yard pass from Jim Kelly (Scott Norwood kick),14,10
4,3.0,Bills,Thurman Thomas 5 yard rush (Scott Norwood kick),21,10
5,3.0,Packers,Sterling Sharpe 58 yard pass from Mike Tomczak (Chris Jacke kick),21,17
6,3.0,Bills,Scott Norwood 38 yard field goal,24,17
7,4.0,Bills,Jim Kelly 1 yard rush (Scott Norwood kick),31,17
8,4.0,Bills,Scott Norwood 21 yard field goal,34,17
9,4.0,Packers,Jackie Harris 1 yard pass from Mike Tomczak (Chris Jacke kick),34,24
