,Quarter,Tm,Detail,GNB,MIN
0,1.0,Vikings,Steve Jordan 23 yard pass from Tommy Kramer (Chuck Nelson kick),0,7
1,1.0,Vikings,Darrin Nelson 13 yard pass from Tommy Kramer (Chuck Nelson kick),0,14
2,1.0,Vikings,Hassan Jones 36 yard pass from Tommy Kramer (Chuck Nelson kick),0,21
3,1.0,Vikings,Steve Jordan 2 yard pass from Tommy Kramer (Chuck Nelson kick),0,28
4,2.0,Packers,Mark Lewis 4 yard pass from Vince Ferragamo (Al Del Greco kick),7,28
5,2.0,Vikings,Hassan Jones 17 yard pass from Tommy Kramer (Chuck Nelson kick),7,35
6,3.0,Vikings,Mike Mularkey 7 yard pass from Tommy Kramer (Chuck Nelson kick),7,42
