,Quarter,Time,Tm,Detail,PHI,GNB
0,2,2:00,Eagles,David Akers 43 yard field goal,3,0
1,3,6:08,Packers,Ryan Longwell 37 yard field goal,3,3
2,4,0:03,Packers,Ryan Longwell 38 yard field goal,3,6
