,Quarter,Tm,Detail,DAL,RAM
0,3.0,Cowboys,Tony Dorsett 5 yard rush (Rafael Septien kick),7,0
1,4.0,Cowboys,Scott Laidlaw 4 yard pass from Roger Staubach (Rafael Septien kick),14,0
2,4.0,Cowboys,Billy Joe DuPree 11 yard pass from Roger Staubach (Rafael Septien kick),21,0
3,4.0,Cowboys,Thomas Henderson 68 yard interception return (Rafael Septien kick),28,0
