,Quarter,Tm,Detail,MIN,ATL
0,1.0,Falcons,Brad Daluiso 23 yard field goal,0,3
1,1.0,Vikings,Cris Carter 25 yard pass from Wade Wilson (Fuad Reveiz kick),7,3
2,2.0,Falcons,Gary Wilkins 3 yard pass from Chris Miller (Brad Daluiso kick),7,10
3,3.0,Vikings,Anthony Carter 14 yard rush (Fuad Reveiz kick),14,10
4,4.0,Vikings,Cris Carter 39 yard pass from Wade Wilson,20,10
5,4.0,Falcons,"Safety, Wilson ran out of end zone",20,12
6,4.0,Falcons,George Thomas 20 yard pass from Chris Miller (Brad Daluiso kick),20,19
