,Quarter,Tm,Detail,CLE,MIN
0,1.0,Vikings,Joe Kapp 7 yard rush (Fred Cox kick),0,7
1,1.0,Vikings,Gene Washington 75 yard pass from Joe Kapp (Fred Cox kick),0,14
2,2.0,Vikings,Fred Cox 30 yard field goal,0,17
3,2.0,Vikings,Dave Osborn 20 yard rush (Fred Cox kick),0,24
4,3.0,Vikings,Fred Cox 32 yard field goal,0,27
5,4.0,Browns,Gary Collins 3 yard pass from Bill Nelsen (Don Cockroft kick),7,27
