,Quarter,Time,Tm,Detail,WAS,JAX
0,1.0,9:40,Redskins,Stephen Davis 1 yard rush (Kris Heppner kick),7,0
1,1.0,3:22,Jaguars,Mike Hollis 23 yard field goal,7,3
2,2.0,12:14,Jaguars,R. Jay Soward 33 yard pass from Mark Brunell (Mike Hollis kick),7,10
3,2.0,9:53,Redskins,Albert Connell 11 yard pass from Brad Johnson (Kris Heppner kick),14,10
4,2.0,5:39,Redskins,Albert Connell 49 yard pass from Brad Johnson (Kris Heppner kick),21,10
5,2.0,2:15,Jaguars,Mike Hollis 33 yard field goal,21,13
6,2.0,0:31,Jaguars,Mike Hollis 51 yard field goal,21,16
7,3.0,10:22,Redskins,Albert Connell 77 yard pass from Brad Johnson (Kris Heppner kick),28,16
8,4.0,4:32,Redskins,Stephen Davis 16 yard rush (Kris Heppner kick),35,16
