,Quarter,Time,Tm,Detail,SDG,NYG
0,1.0,,Giants,Brad Daluiso 30 yard field goal,0,3
1,2.0,,Giants,Dave Brown 3 yard rush (Brad Daluiso kick),0,10
2,2.0,,Chargers,John Carney 30 yard field goal,3,10
3,2.0,,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),3,17
4,3.0,,Chargers,Aaron Hayden 8 yard rush (John Carney kick),10,17
5,4.0,,Chargers,Rodney Culver 8 yard rush (John Carney kick),17,17
6,4.0,,Chargers,Shaun Gayle 99 yard interception return (John Carney kick),24,17
7,4.0,,Chargers,John Carney 45 yard field goal,27,17
